3;0;100;0.0628319;-0.035138;0;4.84777e+010;5.81905e+010;7.4796e+010;5.82998e+010;
3;0;1000;0.00628319;-0.00332302;0;4.84777e+010;5.82156e+010;7.30319e+010;5.82166e+010;
3;0;10000;0.000628319;-0.000330389;0;4.84777e+010;5.82155e+010;7.28666e+010;5.82156e+010;
3;0;100000;6.28319e-005;-3.25441e-005;4.395e+006;4.84777e+010;5.82181e+010;7.28621e+010;5.82156e+010;
3;0;1e+006;6.28319e-006;-3.39746e-006;4.10152e+007;4.84777e+010;5.81356e+010;7.27775e+010;5.84268e+010;
3;0;1e+007;6.28319e-007;-4.17233e-007;4.13086e+008;4.84777e+010;5.74856e+010;7.20367e+010;6.01438e+010;
3;0;1e+008;6.28319e-008;0;4.13868e+009;4.84777e+010;4.84777e+010;4.84777e+010;4.84777e+010;
3;0;1e+009;6.28319e-009;0;4.08378e+010;4.84777e+010;4.84777e+010;4.84777e+010;4.84777e+010;
3;0;1e+010;6.28319e-010;0;4.12814e+011;4.84777e+010;4.84777e+010;4.84777e+010;4.84777e+010;
3;0;1e+011;6.28319e-011;0;4.31415e+012;4.84777e+010;4.84777e+010;4.84777e+010;4.84777e+010;
