1;0;100;0.0628319;-0.0351377;0;
1;0;1000;0.00628319;-0.00332302;0;
1;0;10000;0.000628319;-0.000330389;0;
1;0;100000;6.28319e-005;-3.25441e-005;0;
1;0;1e+006;6.28319e-006;-3.39746e-006;3.5029e+006;
1;0;1e+007;6.28319e-007;-4.17233e-007;4.00037e+007;
1;0;1e+008;6.28319e-008;0;3.10241e+008;
1;0;1e+009;6.28319e-009;0;3.23389e+009;
1;0;1e+010;6.28319e-010;0;3.21757e+010;
1;0;1e+011;6.28319e-011;0;3.20646e+011;
2;0;100;0.0628319;-1.78814e-007;0;
2;0;1000;0.00628319;-3.57628e-007;0;
2;0;10000;0.000628319;-5.96046e-007;0;
2;0;100000;6.28319e-005;1.19209e-007;0;
2;0;1e+006;6.28319e-006;-1.78814e-007;2.9835e+007;
2;0;1e+007;6.28319e-007;0;2.20347e+008;
2;0;1e+008;6.28319e-008;0;2.2959e+009;
2;0;1e+009;6.28319e-009;0;2.27486e+010;
2;0;1e+010;6.28319e-010;0;2.27258e+011;
2;0;1e+011;6.28319e-011;0;2.27371e+012;

